"donor","supplier","supplier_uri","via","currency","non_gbp_value","value","fee","cash","cash_balance","date","description","unspsc_code","transaction_reference","ec_category","ec_accounting_category"
"James Smith","GANDI International","https://opencorporates.com/companies/lu/B173775",,"GBP",,-25.88,0,0,0,"2014-06-24","Domain registration","81112107","2014062400436","A","campaigning costs"
"James Smith","Facebook Ireland, Ltd.","https://opencorporates.com/companies/ie/462932",,"GBP",,-16.66,0,0,0,"2014-07-30","Facebook advertising","82101603","631828266931186-763255","A","campaigning costs"
"James Smith","Ordnance Survey Leisure Ltd","https://opencorporates.com/companies/gb/06894550",,"GBP",,-16.99,0,0,0,"2014-08-03","Custom constituency map","60103407","300126978","F","campaigning costs"
"James Smith","Staples UK Limited","https://opencorporates.com/companies/gb/02759437",,"GBP",,-14.57,0,0,0,"2014-08-05","Stationery","14111509","155034415","D","campaigning costs"
"James Smith","North Horsham Parish Council",,,"GBP",,-31.92,0,0,0,"2014-10-07","Room hire","90111600","16117","D","campaigning costs"
"James Smith","Billingshurst Centre","http://opencharities.org/charities/227480",,"GBP",,-31,0,0,0,"2014-10-14","Room hire","90111600","5631","D","campaigning costs"
"James Smith","Facebook Ireland, Ltd.","https://opencorporates.com/companies/ie/462932",,"GBP",,-1.21,0,0,0,"2014-10-28","Facebook advertising","82101603","665400190240653-935666","A","campaigning costs"
"James Smith","Balcombe Parish Rooms",,,"GBP",,-25,0,0,0,"2014-10-28","Room hire","90111600","79","D","campaigning costs"
"James Smith","Facebook Ireland, Ltd.","https://opencorporates.com/companies/ie/462932",,"GBP",,-0.87,0,0,0,"2014-11-04","Facebook advertising","82101603","656172467830100-950720","A","campaigning costs"
"James Smith","TS Foundry Ltd","https://opencorporates.com/companies/gb/08738607",,"GBP",,-20.94,0,0,0,"2014-11-06","T-shirt printing","82121510","4L915335LT357392U","A","campaigning costs"
"James Smith","North Horsham Parish Council",,,"GBP",,-14.9,0,0,0,"2014-11-11","Room hire","90111600","16356","D","campaigning costs"
"James Smith","Facebook Ireland, Ltd.","https://opencorporates.com/companies/ie/462932",,"GBP",,-2.2,0,0,0,"2014-11-13","Facebook advertising","82101603","672681649512510-968227","A","campaigning costs"
"James Smith","Facebook Ireland, Ltd.","https://opencorporates.com/companies/ie/462932",,"GBP",,-8.19,0,0,0,"2014-12-09","Facebook advertising","82101603","688942704553071-1019664","A","campaigning costs"
"James Smith","North Horsham Parish Council",,,"GBP",,-31.92,0,0,0,"2014-12-09","Room hire","90111600","16486","D","campaigning costs"
